AreaId,Area_x,latitude,longitude,EFR
2,Afghanistan,33.93911,67.709953,28.29
3,Albania,41.153332,20.168331,13.56
4,Algeria,28.033886,1.659626,4.56
6,Andorra,42.546245,1.601554,0.188
7,Angola,-11.202692,17.873887,110.7
8,Antigua and Barbuda,17.060816,-61.796428,0
9,Argentina,-38.416097,-63.616672,515.8
1,Armenia,40.069099,45.038189,2.812
10,Australia,-25.274398,133.775136,243.3
11,Austria,47.516231,14.550072,41.51
52,Azerbaijan,40.143105,47.576927,12.03
12,Bahamas,25.03428,-77.39628,9.055
13,Bahrain,25.930414,50.637772,0
16,Bangladesh,23.684994,90.356331,600.3
14,Barbados,13.193887,-59.543198,0
57,Belarus,53.709807,27.953389,27.56
255,Belgium,50.503887,4.469936,10.16
23,Belize,17.189877,-88.49765,13.72
53,Benin,9.30769,2.315834,13.06
18,Bhutan,27.514162,90.433601,54.1
19,Bolivia (Plurinational State of),-16.290154,-63.588653,396.6
80,Bosnia and Herzegovina,43.915886,17.679076,22.44
20,Botswana,-22.328474,24.684866,2.677
21,Brazil,-14.235004,-51.92528,6532
26,Brunei Darussalam,4.535277,114.727669,5.846
27,Bulgaria,42.733883,25.48583,7.771
233,Burkina Faso,12.238333,-1.561593,3.04
29,Burundi,-3.373056,29.918886,9.788
107,CÃ´te d'Ivoire,7.539989,-5.54708,61.3
35,Cabo Verde,16.5388,23.0418,0
115,Cambodia,12.565679,104.990963,265.4
32,Cameroon,7.369722,12.354722,213.4
33,Canada,56.130366,-106.346771,1931
37,Central African Republic,6.611111,20.939444,119.4
39,Chad,15.454166,18.732207,25.22
40,Chile,-35.675147,-71.542969,529.3
351,China,35.86166,104.195397,1471
44,Colombia,4.570868,-74.297333,1692
45,Comoros,-11.875001,43.872219,0
46,Congo,-0.228021,15.827659,664.4
47,Cook Islands,-21.236736,-159.777671,504.5
48,Costa Rica,9.748917,-83.753428,54.4
98,Croatia,45.1,15.2,60.52
49,Cuba,21.521757,-77.781167,9.055
50,Cyprus,35.126413,33.429859,0.0484
167,Czechia,49.817492,15.472962,6.574
116,Democratic People's Republic of Korea,40.339852,127.510093,45.94
250,Democratic Republic of the Congo,-4.038333,21.758664,981.7
54,Denmark,56.26392,9.501785,2.302
72,Djibouti,11.825138,42.590275,0
55,Dominica,15.414999,-61.370976,0
56,Dominican Republic,18.735693,-70.162651,5.456
58,Ecuador,-1.831239,-78.183406,296.2
59,Egypt,26.820553,30.802498,2.6
60,El Salvador,13.794185,-88.89653,10.24
61,Equatorial Guinea,1.650801,10.267895,15.21
178,Eritrea,15.179384,39.782334,2.107
63,Estonia,58.595272,25.013607,3.566
209,Eswatini,26.5225,31.4659,3.133
238,Ethiopia,9.145,40.489673,89.3
64,Faroe Islands,61.892635,-6.911806,178.955
66,Fiji,-16.578193,179.414413,0
67,Finland,61.92411,25.748151,67.83
68,France,46.227638,2.213749,96.77
74,Gabon,-0.803689,11.609444,138.3
75,Gambia,13.443182,-15.310139,3.402
73,Georgia,42.315407,43.356892,32.63
79,Germany,51.165691,10.451526,81.04
81,Ghana,7.946527,-1.023194,33.26
84,Greece,39.074208,21.824312,18.97
86,Grenada,12.262776,-61.604171,0
89,Guatemala,15.783471,-90.230759,70.02
90,Guinea,9.945587,-9.696645,161
175,Guinea-Bissau,11.803749,-15.180413,19.7
91,Guyana,4.860416,-58.93018,227.2
93,Haiti,18.971187,-72.285215,3.188
94,Holy See,41.9029,12.4534,77.81
95,Honduras,15.199999,-86.241905,57.39
97,Hungary,47.162494,19.503304,46.1
99,Iceland,64.963051,-19.020835,96.41
100,India,20.593684,78.96288,937.1
101,Indonesia,-0.789275,113.921327,1269
102,Iran (Islamic Republic of),32.427908,53.688046,22.7
103,Iraq,33.223191,43.679291,18.66
104,Ireland,53.41291,-8.24389,31.22
105,Israel,31.046051,34.851612,0.6209
106,Italy,41.87194,12.56738,77.81
109,Jamaica,18.109581,-77.297508,0
110,Japan,36.204824,138.252924,212.5
112,Jordan,30.585164,36.238414,0.0341
108,Kazakhstan,48.019573,66.923684,36.31
114,Kenya,-0.023559,37.906193,18.57
83,Kiribati,-3.370417,-168.734039,504.5
118,Kuwait,29.31166,47.481766,0
113,Kyrgyzstan,41.20438,74.766098,8.216
120,Lao People's Democratic Republic,19.85627,102.495496,180.1
119,Latvia,56.879635,24.603189,17.97
121,Lebanon,33.854721,35.862285,1.421
122,Lesotho,-29.609988,28.233608,1.315
123,Liberia,6.428055,-9.429499,176.8
124,Libya,26.3351,17.228331,0
125,Liechtenstein,47.166,9.555373,27.28
126,Lithuania,55.169438,23.881275,10.63
256,Luxembourg,49.815273,6.129583,2.294
129,Madagascar,-18.766947,46.869107,217.5
130,Malawi,-13.254308,34.301525,9.529
131,Malaysia,4.210484,101.975766,385
132,Maldives,3.202778,73.22068,0
133,Mali,17.570692,-3.996166,55.2
134,Malta,35.937496,14.375416,0
127,Marshall Islands,7.131474,171.184478,504.5
136,Mauritania,21.00789,-10.940835,1.222
137,Mauritius,-20.348404,57.552152,217.5
138,Mexico,23.634501,-102.552784,195.3
145,Micronesia (Federated States of),7.425554,150.550812,504.5
140,Monaco,43.750298,7.412841,87.29
141,Mongolia,46.862496,103.846656,21.18
273,Montenegro,42.708678,19.37439,42.4975
143,Morocco,31.791702,-7.09262,8.167
144,Mozambique,-18.665695,35.529562,133
28,Myanmar,21.913965,95.956223,595
147,Namibia,-22.95764,18.49041,7.19
148,Nauru,-0.522778,166.931503,504.5
149,Nepal,28.394857,84.124008,95.94
150,Netherlands,52.132633,5.291266,38.33
156,New Zealand,-40.900557,174.885971,204.3
157,Nicaragua,12.865416,-85.207229,107.2
158,Niger,17.607789,8.081666,10.61
159,Nigeria,9.081999,8.675277,157.2
160,Niue,-19.054445,-169.867233,504.5
154,North Macedonia,41.6086,21.7453,2.268
162,Norway,60.472024,8.468946,261.5
299,Occupied Palestinian Territory,31.952162,35.233154,0.1359
221,Oman,21.512583,55.923255,0
