,AreaId,Area,1980,1985,1990,1995,2000,2005,2010,2015
52,86.0,Grenada,2.072385620914996,2.7423202614378916,3.4122549019607873,4.082189542483627,4.752124183006523,5.0,6.091993464052258,7.05
53,90.0,Guinea,1.1638054298642548,1.138,1.0431202327084703,0.9827776341305767,0.8512,0.8620924369747922,0.8017498383968985,0.7414072398190077
54,91.0,Guyana,3.333,3.333,3.333,3.5385,3.7439999999999998,3.5215,3.299,3.299
55,93.0,Haiti,9.038,9.038,9.038,11.85,12.3567,12.8633,13.37,13.37
56,97.0,Hungary,8.299,10.97,11.65,11.355,10.1295,9.7615,9.644,9.184
57,98.0,Croatia,2.9573732116234694,2.7252438992493326,2.493114586875211,2.2609852745010897,2.028855962126953,1.7967266497528314,1.488,1.409
58,99.0,Iceland,0.1468,0.1522,0.18955,0.226,0.2251,1.7671299999999999,3.3100699999999996,0.3782
59,100.0,India,45.0,48.035,51.34,57.01,62.68,64.585,66.49,66.49
60,101.0,Indonesia,9.908999999999999,9.908999999999999,9.908999999999999,12.5095,15.11,18.7525,22.395,26.0375
61,102.0,Iran (Islamic Republic of),47.6825,55.995,64.3075,72.62,75.55,81.45,81.45,81.45
62,103.0,Iraq,57.3,57.61,60.11,76.39,92.68,83.0425,73.405,63.7675
63,104.0,Ireland,5.149,5.319,5.489,5.12225,4.5855,4.04875,3.6430000000000002,3.6430000000000002
64,105.0,Israel,141.7,145.05,136.7,132.2,132.65,122.4,122.4,122.4
65,106.0,Italy,37.272,37.884,38.496,39.108000000000004,39.72,43.54,38.745,30.13
66,107.0,Côte d'Ivoire,5.38837818579886,3.104,4.816,5.394,6.169,6.782,5.768998259359597,5.088
67,108.0,Kazakhstan,44.49,44.49,44.49,44.49,35.175,65.44,26.675,27.775
68,109.0,Jamaica,8.304,8.304,8.304,8.304,8.036,7.768,9.17,10.84
69,110.0,Japan,40.55,41.04,41.53,41.515,39.92,38.44,37.34,37.34
70,112.0,Jordan,59.25,68.56,86.18,96.45,89.1,91.925,98.065,97.065
71,113.0,Kyrgyzstan,64.495,64.495,64.495,64.495,65.44,57.735,50.03,50.03
72,114.0,Kenya,16.89,16.89,16.89,17.6367,18.3833,22.83,26.53,29.885
73,117.0,Republic of Korea,60.04,60.04,60.04,67.15,79.685,84.76,84.76,84.76
74,118.0,Kuwait,616.1764705882433,910.2941176470658,1204.4117647058883,1275.0,2075.0,2086.7647058823736,2380.882352941196,2675.0000000000186
75,119.0,Latvia,2.394,2.394,2.394,2.394,1.9175,1.329,1.34,1.3925
76,121.0,Lebanon,28.75,33.13,37.51,41.485,41.08,35.56,47.175,58.79
77,122.0,Lesotho,2.9693808035584133,2.929,2.8050322467773143,2.722857968386761,2.566,2.558509411605662,2.4763351332151093,2.3941608548245563
78,123.0,Liberia,0.23534658010361345,0.2355,0.23600236081054504,0.23633025116401082,0.237,0.23698603187094244,0.23731392222440825,0.23764181257787406
79,124.0,Libya,210.0,445.0,680.0,636.25,615.4,688.9,755.9,822.9
80,126.0,Lithuania,31.34,31.34,31.34,31.34,25.65,18.14,17.5333,18.7467
