AreaId,Area,TRWR
2,Afghanistan,65.33
3,Albania,30.2
4,Algeria,11.67
6,Andorra,0.3156
7,Angola,148.4
8,Antigua and Barbuda,0.052
9,Argentina,876.2
1,Armenia,7.769
10,Australia,492
11,Austria,77.7
52,Azerbaijan,34.68
12,Bahamas,0.7
13,Bahrain,0.116
16,Bangladesh,1227
14,Barbados,0.08
57,Belarus,57.9
255,Belgium,18.3
23,Belize,21.73
53,Benin,26.39
18,Bhutan,95
19,Bolivia (Plurinational State of),574
80,Bosnia and Herzegovina,37.5
20,Botswana,12.24
21,Brazil,8647
26,Brunei Darussalam,8.5
27,Bulgaria,21.3
233,Burkina Faso,13.5
29,Burundi,12.54
35,Cabo Verde,0.3
115,Cambodia,476.1
32,Cameroon,283.1
33,Canada,2902
37,Central African Republic,141
39,Chad,45.7
40,Chile,923.1
351,China,2840
44,Colombia,2360
45,Comoros,1.2
46,Congo,832
47,Cook Islands,801
48,Costa Rica,113
98,Croatia,105.5
49,Cuba,38.12
50,Cyprus,0.78
167,Czechia,13.15
107,CÃ´te d'Ivoire,84.14
116,Democratic People's Republic of Korea,77.15
250,Democratic Republic of the Congo,1283
54,Denmark,6
72,Djibouti,#VALUE!
55,Dominica,0.2
56,Dominican Republic,23.5
58,Ecuador,442.4
59,Egypt,57.5
60,El Salvador,26.27
61,Equatorial Guinea,26
178,Eritrea,7.315
63,Estonia,12.81
209,Eswatini,4.51
238,Ethiopia,122
64,Faroe Islands,281.5
66,Fiji,28.55
67,Finland,110
68,France,211
74,Gabon,166
75,Gambia,8
73,Georgia,63.33
79,Germany,154
81,Ghana,56.2
84,Greece,68.4
86,Grenada,0.2
89,Guatemala,127.9
90,Guinea,226
175,Guinea-Bissau,31.4
91,Guyana,271
93,Haiti,14.03
94,Holy See,191.3
95,Honduras,92.16
97,Hungary,104
99,Iceland,170
100,India,1911
101,Indonesia,2019
102,Iran (Islamic Republic of),137
103,Iraq,89.86
104,Ireland,52
105,Israel,1.78
106,Italy,191.3
109,Jamaica,10.82
110,Japan,430
112,Jordan,0.937
108,Kazakhstan,108.4
114,Kenya,30.7
83,Kiribati,801
118,Kuwait,0.02
113,Kyrgyzstan,23.62
120,Lao People's Democratic Republic,333.5
119,Latvia,34.94
121,Lebanon,4.503
122,Lesotho,3.022
123,Liberia,232
124,Libya,0.7
125,Liechtenstein,53.5
126,Lithuania,24.5
256,Luxembourg,3.5
129,Madagascar,337
130,Malawi,17.28
131,Malaysia,580
132,Maldives,0.03
133,Mali,120
134,Malta,0.0505
127,Marshall Islands,801
136,Mauritania,11.4
137,Mauritius,2.751
138,Mexico,461.9
145,Micronesia (Federated States of),801
140,Monaco,201.15
141,Mongolia,34.8
273,Montenegro,83.85
143,Morocco,29
144,Mozambique,217.1
28,Myanmar,1168
147,Namibia,39.91
148,Nauru,801
149,Nepal,210.2
150,Netherlands,91
156,New Zealand,327
157,Nicaragua,164.5
158,Niger,34.05
159,Nigeria,286.2
160,Niue,801
154,North Macedonia,6.4
162,Norway,393
299,Occupied Palestinian Territory,0.837
221,Oman,1.4
165,Pakistan,246.8
180,Palau,801
166,Panama,139.3
168,Papua New Guinea,801
169,Paraguay,387.8
170,Peru,1880
171,Philippines,479
173,Poland,60.5
174,Portugal,77.4
177,Puerto Rico,7.1
179,Qatar,0.058
117,Republic of Korea,69.7
146,Republic of Moldova,12.27
183,Romania,212
185,Russian Federation,4525
184,Rwanda,13.3
188,Saint Kitts and Nevis,0.024
189,Saint Lucia,0.3
191,Saint Vincent and the Grenadines,0.1
244,Samoa,801
192,San Marino,191.3
193,Sao Tome and Principe,2.18
194,Saudi Arabia,2.4
195,Senegal,38.97
272,Serbia,162.2
196,Seychelles,337
197,Sierra Leone,160
200,Singapore,0.6
199,Slovakia,50.1
198,Slovenia,31.87
25,Solomon Islands,44.7
201,Somalia,14.7
202,South Africa,51.35
277,South Sudan,49.5
203,Spain,111.5
38,Sri Lanka,52.8
276,Sudan,37.8
207,Suriname,99
210,Sweden,174
211,Switzerland,53.5
212,Syrian Arab Republic,16.8
208,Tajikistan,21.91
216,Thailand,438.6
176,Timor-Leste,8.215
217,Togo,14.7
218,Tokelau,801
219,Tonga,801
220,Trinidad and Tobago,3.84
222,Tunisia,4.615
223,Turkey,211.6
213,Turkmenistan,24.77
227,Tuvalu,801
226,Uganda,60.1
230,Ukraine,175.3
225,United Arab Emirates,0.15
229,United Kingdom,147
215,United Republic of Tanzania,96.27
231,United States of America,3069
234,Uruguay,172.2
235,Uzbekistan,48.87
155,Vanuatu,10
236,Venezuela (Bolivarian Republic of),1325
237,Viet Nam,884.1
249,Yemen,2.1
251,Zambia,104.8
181,Zimbabwe,20
