area_id,area,1980,1985,1990,1995,2000,2005,2010,2015,2017,
108,Kazakhstan,44.49,44.49,44.49,44.49,35.175,65.44,26.675,27.775,28.895,
113,Kyrgyzstan,64.495,64.495,64.495,64.495,65.44,57.735,50.03,50.03,,
124,Libya,210,445,680,636.25,615.4,688.9,755.9,822.9,,
121,Lebanon,28.75,33.13,37.51,41.485,41.08,35.56,47.175,58.79,,
119,Latvia,2.394,2.394,2.394,2.394,1.9175,1.329,1.34,1.3925,,
126,Lithuania,31.34,31.34,31.34,31.34,25.65,18.14,17.5333,18.7467,,
256,Luxemborg,3.292,5.556,5.1205,4.685,4.68525,4.3535,4.02175,3.669,,
129,Madagascar,13.0275,13.0275,12.415,11.8025,11.19,11.27,11.35,11.35,,
130,Malawi,13.75,13.75,13.75,13.75,15.42,17.51,17.51,17.51,,
136,Mauritania,7.172,8.8796,10.5872,14.0024,15.71,13.24,13.24,13.24,,
137,Mauritius,15.5833,18.0767,20.57,22.36,22.17,26.35,26.35,26.35,,
143,Morocco,48.24,52.8,52.895,54.05,62.595,60.41,49.68,49.68,,
144,Mozambique,0.7194,0.7194,0.7194,0.91836,0.98468,1.28433,1.51767,1.751,,
138,Mexico,20.99,21.8657,22.7414,25.3686,26.2443,28.31,30.11,31.43,,
131,Malaysia,5.19,5.19,5.19,4.001,4.77,5.744,5.744,5.744,,
141,Mongolia,3.3066,3.3066,3.3066,3.3066,3.6358,3.8004,3.829,3.612,,
134,Malta,39.6,44.305,49.01,58.42,64.36,66.5367,72.158,79.366,,
147,Namibia,0.4279,0.4279,0.594,0.8157,0.83865,0.8616,0.8616,0.8616,,
158,Niger,2.47683,2.47683,2.47683,3.1645,3.50833,4.196,5.28167,6.36733,,
159,Nigeria,5.7966,5.7966,5.7966,7.2602,7.992,8.969,9.667,9.667,,
150,Netherlands,17.46,17.75,16.0233,13.755,14.63,18.84,20.56,16.93,,
154,North Macedona,26.475,26.475,26.475,26.475,26.475,14.33,13.34,13.34,,
162,Norway,1.521,1.5848,1.7124,1.7762,1.832,2.0625,2.301,2.301,,
156,New Zealand,0.978,1.548,1.694,1.767,2.91925,3.63975,4.239,4.239,,
299,Occupied Palestinian Territory,58.19,58.19,58.19,58.19,58.19,58.19,19.7067,43.2667,,
221,Oman,87.34,87.34,87.34,87.34,92.86,84.71,84.71,84.71,,
169,Paraguay,0.3422,0.3422,0.3422,0.3574,0.3726,0.860067,1.34753,1.835,,
177,Puerto Rico,17.81,17.81,17.81,18.465,19.12,22.29,22.71,22.71,,
165,Pakistan,94.37,94.64,95.18,100.675,105.9,109.25,112.6,112.6,,
171,Philippines,25.205,25.205,25.205,25.205,25.205,25.205,25.205,25.755,,
173,Poland,52.37,56.8,51.555,45.29,42.42,40.9167,40.3367,38.16,,
174,Portugal,19.83,19.83,19.83,19.83,21.0467,19.7133,18.38,18.38,,
179,Qatar,263.225,267.85,272.475,279.85,282.6,374.1,374.1,374.1,,
117,Republic of Korea,60.04,60.04,60.04,67.15,79.685,84.76,84.76,84.76,,
