Area,YearBin,gdp-2_pop-2,gdp-2_pop0,gdp-2_pop2,gdp0_pop-2,gdp0_pop0,gdp0_pop2,gdp2_pop-2,gdp2_pop0,gdp2_pop2
Afghanistan,1980,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447
Afghanistan,1985,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447
Afghanistan,1990,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666
Afghanistan,1995,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848
Afghanistan,2000,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2005,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2010,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2015,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2020,37.47877069834412,36.13517818574514,44.847561195104376,28.749469042476594,29.126358891288696,38.07101331893448,24.804814614830818,25.181704463642916,35.89408747300216
Afghanistan,2025,33.974361051115906,46.29397048236141,104.29478041756657,24.804814614830818,40.61263498920087,100.38117350611951,25.147228221742264,43.475266978641706,106.0467512598992
Afghanistan,2030,32.63076853851691,67.67302015838732,141.54834413246945,25.33225341972642,66.43018058555315,146.27142728581717,30.47030237580994,75.0411417086633,148.60966522678189
Albania,1980,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1985,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1990,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1995,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077
Albania,2000,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077
Albania,2005,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2010,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2015,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2020,6.097388296379668,7.19322489580832,6.9099115945262675,6.025930630781377,6.996399975936526,6.713086674654473,5.981349300653173,6.951818645808322,6.6685053445262685
Albania,2025,4.6419666433645315,6.951818645808322,5.789930863451786,4.690243886954275,6.951818645808322,5.4915434435799915,4.885057126599245,7.160774513658421,5.851406318196473
Albania,2030,4.536925243791882,6.469386754782678,11.13026466493343,4.731738483436852,6.678342622632776,10.982784251828015,4.698825823180443,6.9893235254105575,10.982784251828015
Algeria,1980,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422
Algeria,1985,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492
Algeria,1990,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024
Algeria,1995,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614
Algeria,2000,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202
Algeria,2005,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149
Algeria,2010,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097
Algeria,2015,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976
Algeria,2020,141.5685263322394,167.3598999843726,173.18502891076727,141.5685263322394,167.3598999843726,173.18502891076727,156.13439599937493,182.9946866697922,185.62947335521173
Algeria,2025,140.01515861853414,173.18502891076727,547.075324269417,154.58102828566967,185.62947335521173,557.8193467729333,154.58102828566967,185.62947335521173,565.4002187841851
Algeria,2030,140.01515861853414,331.1017346460385,798.0864978902956,165.35927488670103,354.5752461322082,815.4582747304268,171.16424441318958,353.4908579465541,853.0930614158463
