238,Ethiopia,24.04,24.04,24.04,24.04,24.04,24.04,26.78,29.52,223.1374618,231.1226809,246.1659531
67,Finland,8.774,9.485,5.566,6.132,8.86733,12.2137,15.56,15.56,12.37721519,14.02617575,20.75868701
68,France,27.1,30.53,32.43,30.44,27.44,27.73,25.665,24.955,33.83057574,32.17981266,32.79844758
74,Gabon,0.2166,0.2166,0.289167,0.361733,0.4343,0.5022,0.5022,0.5022,0.983895011,1.293052653,4.987068419
75,Gambia,0.435,0.900967172,1.151502358,1.402037544,1.968,1.903107916,2.153643101,2.404178287,12.64022496,32.51763484,29.1660327
73,Georgia,5.752570735,5.784505333,5.816439931,5.848374529,5.880309127,5.906,5.938,5.976112921,4.633510005,4.472861555,4.471722007
79,Germany,63.42,63.42,63.42,61.95,57.775,48.91,45.22,34.72,48.42724324,48.42724324,52.34445815
81,Ghana,2.50277792,2.794245859,3.085713797,3.377181736,4.281,3.960117613,4.251585551,4.54305349,23.58929768,42.06974717,56.45611741
84,Greece,10.18,11.1,13.67,16.905,18.115,19.035,19.41,19.41,18.77130586,18.57242191,18.98698122
90,Guinea,1.16380543,1.138,1.043120233,0.982777634,0.8512,0.862092437,0.801749838,0.74140724,2.759463569,7.675630769,20.01926154
175,Guinea-Bissau,0.1419,0.1419,0.1419,0.81895,1.496,1.496,1.496,1.496,4.555637171,5.804207116,9.096489766
91,Guyana,3.333,3.333,3.333,3.5385,3.744,3.5215,3.299,3.299,2.489960197,2.304921299,2.585410053
93,Haiti,9.038,9.038,9.038,11.85,12.3567,12.8633,13.37,13.37,17.60783638,12.64472995,15.32213145
97,Hungary,8.299,10.97,11.65,11.355,10.1295,9.7615,9.644,9.184,7.295213396,7.538103436,8.168214319
99,Iceland,0.1468,0.1522,0.18955,0.226,0.2251,1.76713,3.31007,0.3782,1.574475699,1.421723966,1.261418369
100,India,45,48.035,51.34,57.01,62.68,64.585,66.49,66.49,65.28596365,65.01283499,64.14210905
101,Indonesia,9.909,9.909,9.909,12.5095,15.11,18.7525,22.395,26.0375,33.5661037,37.46002963,37.46002963
102,Iran (Islamic Republic of),47.6825,55.995,64.3075,72.62,75.55,81.45,81.45,81.45,70.99448819,72.81717702,71.25403908
