"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2012,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2016,577.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1962,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1967,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1972,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1977,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1982,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1987,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1992,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1997,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2002,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2007,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2012,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2016,18104.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1962,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1967,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1972,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1977,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1982,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1987,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1992,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,1997,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,2002,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,2007,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,2012,960000.0,"E","",""
"China",351,"Total area of the country (excl. coastal waters)",4100,2016,960001.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1962,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1967,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1972,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1977,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1982,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1987,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1992,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,1997,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,2002,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,2007,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,2012,12054.0,"E","",""
"Democratic People's Republic of Korea",116,"Total area of the country (excl. coastal waters)",4100,2016,12054.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,1992,6970.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,1997,6970.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,2002,6970.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,2007,6970.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,2012,6970.0,"E","",""
"Georgia",73,"Total area of the country (excl. coastal waters)",4100,2016,6970.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1962,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1967,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1972,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1977,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1982,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1987,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1992,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,1997,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,2002,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,2007,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,2012,328726.0,"E","",""
"India",100,"Total area of the country (excl. coastal waters)",4100,2016,328726.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1962,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1967,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1972,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1977,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1982,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1987,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1992,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,1997,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,2002,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,2007,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,2012,191093.0,"E","",""
"Indonesia",101,"Total area of the country (excl. coastal waters)",4100,2016,191358.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1962,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1967,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1972,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1977,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1982,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1987,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1992,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,1997,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,2002,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,2007,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,2012,174515.0,"E","",""
"Iran (Islamic Republic of)",102,"Total area of the country (excl. coastal waters)",4100,2016,174515.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1962,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1967,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1972,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1977,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1982,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1987,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1992,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,1997,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,2002,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,2007,43832.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,2012,43524.0,"E","",""
"Iraq",103,"Total area of the country (excl. coastal waters)",4100,2016,43505.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1962,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1967,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1972,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1977,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1982,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1987,2207.0,"E","",""
"Israel",105,"Total area of the country (excl. coastal waters)",4100,1992,2207.0,"E","",""
