"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,2016,70.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1962,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1967,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1972,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1977,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1982,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1987,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1992,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1997,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2002,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2007,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2012,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2016,2.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1962,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1967,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1972,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1977,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1982,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1987,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1992,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1997,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2002,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2007,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2012,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2016,26771.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1962,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1967,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1972,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1977,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1982,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1987,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1992,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1997,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,2002,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,2007,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,2012,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,2016,26.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1962,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1967,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1972,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1977,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1982,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1987,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1992,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,1997,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,2002,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,2007,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,2012,46.0,"E","",""
"Palau",180,"Total area of the country (excl. coastal waters)",4100,2016,46.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1962,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1967,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1972,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1977,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1982,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1987,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1992,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,1997,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,2002,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,2007,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,2012,284.0,"E","",""
"Samoa",244,"Total area of the country (excl. coastal waters)",4100,2016,284.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1962,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1967,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1972,2890.0,"E","",""
"Solomon Islands",25,"Total area of the country (excl. coastal waters)",4100,1977,2890.0,"E","",""
