Area,YearBin,gdp-2_pop2,gdp-2_pop0,gdp0_pop2,gdp0_pop0,gdp2_pop2,gdp2_pop0
Afghanistan,1980,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447
Afghanistan,1985,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447,70.4913606911447
Afghanistan,1990,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666,65.2447804175666
Afghanistan,1995,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848,59.99820014398848
Afghanistan,2000,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2005,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2010,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2015,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366,54.751619870410366
Afghanistan,2020,44.847561195104376,36.13517818574514,38.07101331893448,29.126358891288696,35.89408747300216,25.181704463642916
Afghanistan,2025,104.29478041756657,46.29397048236141,100.38117350611951,40.61263498920087,106.0467512598992,43.475266978641706
Afghanistan,2030,141.54834413246945,67.67302015838732,146.27142728581717,66.43018058555315,148.60966522678189,75.0411417086633
Albania,1980,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1985,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1990,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462,7.211538461538462
Albania,1995,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077,9.12860576923077
Albania,2000,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077,11.045673076923077
Albania,2005,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2010,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2015,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768,7.878605769230768
Albania,2020,6.9099115945262675,7.19322489580832,6.713086674654473,6.996399975936526,6.6685053445262685,6.951818645808322
Albania,2025,5.789930863451786,6.951818645808322,5.4915434435799915,6.951818645808322,5.851406318196473,7.160774513658421
Albania,2030,11.13026466493343,6.469386754782678,10.982784251828015,6.678342622632776,10.982784251828015,6.9893235254105575
Algeria,1980,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422,42.19409282700422
Algeria,1985,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492,49.22644163150492
Algeria,1990,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024,62.39099859353024
Algeria,1995,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614,71.32208157524614
Algeria,2000,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202,80.25316455696202
Algeria,2005,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149,95.04922644163149
Algeria,2010,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097,109.84528832630097
Algeria,2015,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976,127.60900140646976
Algeria,2020,173.18502891076727,167.3598999843726,173.18502891076727,167.3598999843726,185.62947335521173,182.9946866697922
Algeria,2025,547.075324269417,173.18502891076727,557.8193467729333,185.62947335521173,565.4002187841851,185.62947335521173
Algeria,2030,798.0864978902956,331.1017346460385,815.4582747304268,354.5752461322082,853.0930614158463,353.4908579465541
Angola,1980,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618
Angola,1985,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618,1.273209549071618
Angola,1990,1.4150309460654287,1.4150309460654287,1.4150309460654287,1.4150309460654287,1.4150309460654287,1.4150309460654287
Angola,1995,1.5568523430592394,1.5568523430592394,1.5568523430592394,1.5568523430592394,1.5568523430592394,1.5568523430592394
Angola,2000,1.69867374005305,1.69867374005305,1.69867374005305,1.69867374005305,1.69867374005305,1.69867374005305
Angola,2005,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682
Angola,2010,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682
Angola,2015,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682,1.8718832891246682
Angola,2020,80.69257294429703,81.30337248957935,81.00574712643673,81.61654667171905,80.71025641025636,81.3210559555387
Angola,2025,59.143913940465666,65.04759799587384,59.457088122605356,65.28455643972886,57.22808723843206,64.02107279693489
Angola,2030,40.63156498673738,53.175891541408774,40.68629531388151,51.12991452991452,42.42015915119362,50.33230179781903
Argentina,1980,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938
Argentina,1985,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938
Argentina,1990,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938
Argentina,1995,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938,7.930077691453938
