Area,YearBin,gdp-2_pop2,gdp-2_pop0,gdp0_pop2,gdp0_pop0,gdp2_pop2,gdp2_pop0
Afghanistan,2020,44.847561195104376,36.13517818574514,38.07101331893448,29.126358891288696,35.89408747300216,25.181704463642916
Afghanistan,2025,104.29478041756657,46.29397048236141,100.38117350611951,40.61263498920087,106.0467512598992,43.475266978641706
Afghanistan,2030,141.54834413246945,67.67302015838732,146.27142728581717,66.43018058555315,148.60966522678189,75.0411417086633
Albania,2020,6.9099115945262675,7.19322489580832,6.713086674654473,6.996399975936526,6.6685053445262685,6.951818645808322
Albania,2025,5.789930863451786,6.951818645808322,5.4915434435799915,6.951818645808322,5.851406318196473,7.160774513658421
Albania,2030,11.13026466493343,6.469386754782678,10.982784251828015,6.678342622632776,10.982784251828015,6.9893235254105575
Algeria,2020,173.18502891076727,167.3598999843726,173.18502891076727,167.3598999843726,185.62947335521173,182.9946866697922
Algeria,2025,547.075324269417,173.18502891076727,557.8193467729333,185.62947335521173,565.4002187841851,185.62947335521173
Algeria,2030,798.0864978902956,331.1017346460385,815.4582747304268,354.5752461322082,853.0930614158463,353.4908579465541
Angola,2020,80.69257294429703,81.30337248957935,81.00574712643673,81.61654667171905,80.71025641025636,81.3210559555387
Angola,2025,59.143913940465666,65.04759799587384,59.457088122605356,65.28455643972886,57.22808723843206,64.02107279693489
Angola,2030,40.63156498673738,53.175891541408774,40.68629531388151,51.12991452991452,42.42015915119362,50.33230179781903
Argentina,2020,11.532555391129199,10.089397643383412,11.555462038064702,10.11813114936442,11.533164282484485,10.06096472933729
Argentina,2025,13.601772721667281,11.161158444139772,13.561786286841775,11.162229784625652,13.561786286841775,11.162229784625652
Argentina,2030,17.51105253422123,11.647313170551245,17.52538845726969,11.657201874460478,17.419348871624113,11.657201874460478
Armenia,2020,44.22408427773312,50.00354317984686,43.11454221600224,48.894001118115966,43.11454221600224,48.894001118115966
Armenia,2025,41.153656375552146,48.08168183898209,40.861140741095824,47.400490258052756,40.84432949773627,47.38367901469321
Armenia,2030,38.0426461319012,44.32091703948418,38.02583488854164,44.304105796124624,37.88546100648932,44.16373191407231
Australia,2020,14.542609806286814,12.02297436867791,14.356307702011245,11.861199807627113,14.356307702011245,11.861199807627113
Australia,2025,14.101292735295438,13.328786815624257,13.949704476348913,13.167012254573457,13.857570477594606,13.074878255819153
Australia,2030,14.54771412652985,14.313730746285916,14.54771412652985,14.313730746285916,14.455580127775544,14.221596747531612
Austria,2020,17.707483166395328,8.590313887191476,17.707483166395328,8.590313887191476,17.314065709148085,8.453351558739786
Austria,2025,21.224107870904653,11.326611986255532,20.57620789853659,11.189649657803843,20.57620789853659,10.915725000900462
Austria,2030,22.601048576264812,11.326611986255532,22.207575855132504,11.189649657803843,22.374657000937056,10.915725000900462
Azerbaijan,2020,35.210609983746785,40.79974954176051,35.210609983746785,40.79974954176051,35.09140468573354,40.56133894573403
Azerbaijan,2025,34.59666590721993,36.404311719832634,34.59666590721993,36.404311719832634,37.094164067632,37.15957294131902
Azerbaijan,2030,33.71141387662498,36.067269292061724,36.71686886804024,36.80678364084759,37.0453211613932,36.68161807793369
Bangladesh,2020,9.109754800276576,8.908808042125413,9.109754800276576,8.908808042125413,9.079915961916916,8.878969203765752
Bangladesh,2025,14.313263478892956,8.771740864847612,14.313263478892956,8.881203127493214,14.918887293229076,9.486826941829332
Bangladesh,2030,27.449887417335955,9.685539776253032,30.41994220165594,9.919463503714336,31.001294257397653,10.430039182312996
Belarus,2020,16.766680304332745,10.78637923637924,16.766680304332745,10.039400550376165,16.766680304332745,10.164720992769777
Belarus,2025,19.575642650490213,10.53028167540363,19.935069150160615,10.897087505624091,19.9937375746827,10.897087505624091
Belarus,2030,18.40436161335552,10.53028167540363,18.76378811302592,10.897087505624091,19.640205383955387,10.824378210963577
Belgium,2020,86.3458686568062,85.3348121457497,87.27693608787361,86.35269366363119,87.27693608787361,86.35269366363119
Belgium,2025,126.92193173286927,85.5416098525474,127.47257328351081,86.35269366363119,127.47257328351081,86.35269366363119
Belgium,2030,188.2648102648103,85.5416098525474,188.05801255801262,86.35269366363119,181.17881517881526,86.35269366363119
Belize,2020,1.365943763315798,1.4312205007273668,1.3759661559599137,1.40162852244625,1.4684046202252612,1.4684046202252612
Belize,2025,1.6697222247627992,1.3759661559599137,3.2542955204888204,2.920464545318894,3.2605238461928026,2.9356955066172707
Belize,2030,2.3457918578392984,1.6697222247627992,2.455264584831792,1.781705702206119,2.230709167991731,1.700098336413359
Benin,2020,20.436542421056394,27.237224362375045,33.01081560031296,38.865293282233445,44.88794982639825,46.89736624300239
Benin,2025,41.645244644494454,55.488976815327156,54.14486955072102,70.25557543899863,58.284554471951324,73.15483636534135
Benin,2030,46.17339334833709,50.72578978077854,50.246695007085115,58.57227640243395,48.18843044094358,59.59503209135617
Bhutan,2020,0.7392903333108347,0.7484671874265643,0.7231615639546816,0.7323384180704111,0.761947220026401,0.7549953047859774
Bhutan,2025,0.9210151418976762,0.7317597709636465,1.190045296746902,0.9952561034819837,1.1565000644730632,0.996770094245363
Bhutan,2030,0.9973254327719444,0.6726318166034183,0.8756872909626531,0.6741458073667979,0.8942821638973795,0.7214889206512316
Bolivia (Plurinational State of),2020,4.250395841721693,4.357141426088474,4.242729550853601,4.349475135220379,4.2177201558893005,4.3032894907258274
Bolivia (Plurinational State of),2025,9.423855693348369,4.1480095207897145,9.336614054866594,4.1268332712594615,11.993576349743204,4.121384191965963
